,File,NCR,ED,ET,WT,ED/WT,ET/WT,TC/WT
392,BraTS-GoAT-01211.nii.gz,7687,219,4026,11932,0.018354006,0.337412001,0.981645994
389,BraTS-GoAT-02104.nii.gz,69570,1523,10930,82023,0.018567963,0.133255306,0.981432037
1323,BraTS-GoAT-00491.nii.gz,81153,2950,74249,158352,0.018629383,0.468885773,0.981370617
154,BraTS-GoAT-02187.nii.gz,119083,2346,4251,125680,0.018666454,0.033823997,0.981333546
1007,BraTS-GoAT-00840.nii.gz,3529,115,2402,6046,0.01902084,0.397287463,0.98097916
1244,BraTS-GoAT-01717.nii.gz,75783,1588,6047,83418,0.019036659,0.07249035,0.980963341
20,BraTS-GoAT-01051.nii.gz,21810,450,1136,23396,0.019234057,0.048555309,0.980765943
22,BraTS-GoAT-01425.nii.gz,181776,3837,8537,194150,0.01976307,0.043971156,0.98023693
565,BraTS-GoAT-01573.nii.gz,207046,4406,11328,222780,0.019777359,0.050848371,0.980222641
1014,BraTS-GoAT-00315.nii.gz,36475,876,6859,44210,0.019814522,0.155145895,0.980185478
646,BraTS-GoAT-00400.nii.gz,7795,239,3856,11890,0.020100925,0.32430614,0.979899075
535,BraTS-GoAT-02016.nii.gz,15607,413,4467,20487,0.020159125,0.218040709,0.979840875
343,BraTS-GoAT-01060.nii.gz,63939,1873,26467,92279,0.020297142,0.286814985,0.979702858
1282,BraTS-GoAT-01262.nii.gz,61463,1427,7356,70246,0.020314324,0.104717706,0.979685676
296,BraTS-GoAT-00106.nii.gz,108559,3397,53644,165600,0.020513285,0.323937198,0.979486715
711,BraTS-GoAT-00179.nii.gz,75077,1730,7013,83820,0.020639466,0.083667382,0.979360534
610,BraTS-GoAT-00103.nii.gz,62799,1546,9953,74298,0.020808097,0.133960537,0.979191903
607,BraTS-GoAT-00802.nii.gz,17336,402,1412,19150,0.020992167,0.073733681,0.979007833
963,BraTS-GoAT-00219.nii.gz,96213,2517,20051,118781,0.021190258,0.168806459,0.978809742
263,BraTS-GoAT-01701.nii.gz,69702,1999,21698,93399,0.021402799,0.232315121,0.978597201
34,BraTS-GoAT-02225.nii.gz,105764,2593,10957,119314,0.021732571,0.091833314,0.978267429
471,BraTS-GoAT-02257.nii.gz,31402,925,9973,42300,0.021867612,0.235768322,0.978132388
594,BraTS-GoAT-00576.nii.gz,20191,455,106,20752,0.021925598,0.005107941,0.978074402
847,BraTS-GoAT-00712.nii.gz,46598,1167,4951,52716,0.022137491,0.093918355,0.977862509
961,BraTS-GoAT-01818.nii.gz,205789,5096,17899,228784,0.022274285,0.078235366,0.977725715
82,BraTS-GoAT-00429.nii.gz,68409,1781,8795,78985,0.022548585,0.111350256,0.977451415
584,BraTS-GoAT-01712.nii.gz,90843,2978,37138,130959,0.022739942,0.283584939,0.977260058
919,BraTS-GoAT-00734.nii.gz,118514,3214,19071,140799,0.022826867,0.135448405,0.977173133
172,BraTS-GoAT-01975.nii.gz,26179,772,6841,33792,0.022845644,0.202444366,0.977154356
650,BraTS-GoAT-01824.nii.gz,24722,701,5219,30642,0.022877097,0.170321781,0.977122903
87,BraTS-GoAT-01638.nii.gz,35200,966,5988,42154,0.022915975,0.142050576,0.977084025
143,BraTS-GoAT-02238.nii.gz,165578,4362,20057,189997,0.022958257,0.105564825,0.977041743
590,BraTS-GoAT-02422.nii.gz,32283,1188,17849,51320,0.02314887,0.347798129,0.97685113
1088,BraTS-GoAT-00374.nii.gz,49600,1350,6830,57780,0.023364486,0.118206992,0.976635514
453,BraTS-GoAT-02325.nii.gz,30661,895,6687,38243,0.023402976,0.174855529,0.976597024
816,BraTS-GoAT-01513.nii.gz,76293,2086,9994,88373,0.023604495,0.113088839,0.976395505
218,BraTS-GoAT-01418.nii.gz,195271,5030,12695,212996,0.023615467,0.059602058,0.976384533
615,BraTS-GoAT-01303.nii.gz,50797,1405,7133,59335,0.02367911,0.120215724,0.97632089
1320,BraTS-GoAT-01846.nii.gz,7981,310,4678,12969,0.023903154,0.3607063,0.976096846
661,BraTS-GoAT-01598.nii.gz,86663,2437,12490,101590,0.023988582,0.122945172,0.976011418
235,BraTS-GoAT-02076.nii.gz,165576,6065,80098,251739,0.024092413,0.318178749,0.975907587
47,BraTS-GoAT-01489.nii.gz,9757,460,8858,19075,0.024115334,0.464377457,0.975884666
1096,BraTS-GoAT-00133.nii.gz,21313,932,16257,38502,0.024206535,0.422237806,0.975793465
575,BraTS-GoAT-00558.nii.gz,58409,1857,16161,76427,0.024297696,0.211456684,0.975702304
292,BraTS-GoAT-02042.nii.gz,82684,2794,28554,114032,0.024501894,0.250403396,0.975498106
678,BraTS-GoAT-01732.nii.gz,117597,3889,36920,158406,0.024550838,0.23307198,0.975449162
851,BraTS-GoAT-01098.nii.gz,26076,733,2998,29807,0.024591539,0.100580401,0.975408461
276,BraTS-GoAT-00016.nii.gz,33547,943,3603,38093,0.024755204,0.094584307,0.975244796
567,BraTS-GoAT-00078.nii.gz,30118,1665,35019,66802,0.024924403,0.524220832,0.975075597
1116,BraTS-GoAT-01521.nii.gz,23814,687,2810,27311,0.0251547,0.102888946,0.9748453
428,BraTS-GoAT-00978.nii.gz,140803,3980,12306,157089,0.025335956,0.078337758,0.974664044
1165,BraTS-GoAT-02250.nii.gz,148263,4414,21250,173927,0.025378463,0.122177695,0.974621537
1245,BraTS-GoAT-02264.nii.gz,59056,1719,6929,67704,0.025389933,0.10234255,0.974610067
161,BraTS-GoAT-01097.nii.gz,66070,1981,9751,77802,0.02546207,0.125330968,0.97453793
1092,BraTS-GoAT-01076.nii.gz,108627,3033,6511,118171,0.025666196,0.055098121,0.974333804
949,BraTS-GoAT-00270.nii.gz,1160,53,838,2051,0.025841053,0.40858118,0.974158947
905,BraTS-GoAT-02190.nii.gz,33259,1060,6597,40916,0.025906736,0.16123277,0.974093264
1267,BraTS-GoAT-00615.nii.gz,89543,2952,21135,113630,0.025979055,0.185998416,0.974020945
632,BraTS-GoAT-00772.nii.gz,64363,1807,2619,68789,0.026268735,0.038072948,0.973731265
522,BraTS-GoAT-00509.nii.gz,65567,1863,3003,70433,0.026450669,0.042636264,0.973549331
374,BraTS-GoAT-02046.nii.gz,120235,3888,22534,146657,0.026510838,0.153651036,0.973489162
640,BraTS-GoAT-01718.nii.gz,52436,1501,2575,56512,0.02656073,0.045565544,0.97343927
773,BraTS-GoAT-00855.nii.gz,50114,1735,13270,65119,0.02664353,0.203780771,0.97335647
1178,BraTS-GoAT-01558.nii.gz,143645,4673,25990,174308,0.026808867,0.149103885,0.973191133
382,BraTS-GoAT-01452.nii.gz,29087,1040,8614,38741,0.026844945,0.222348416,0.973155055
748,BraTS-GoAT-00093.nii.gz,115343,4073,31863,151279,0.026923763,0.210624079,0.973076237
1223,BraTS-GoAT-02185.nii.gz,13150,471,3865,17486,0.026935834,0.22103397,0.973064166
266,BraTS-GoAT-01032.nii.gz,118379,3613,12103,134095,0.026943585,0.090256907,0.973056415
136,BraTS-GoAT-01006.nii.gz,134237,4688,34578,173503,0.027019706,0.199293384,0.972980294
1058,BraTS-GoAT-01261.nii.gz,37067,1590,20160,58817,0.027033001,0.342758046,0.972966999
431,BraTS-GoAT-01258.nii.gz,54960,1693,5701,62354,0.027151426,0.091429579,0.972848574
656,BraTS-GoAT-02265.nii.gz,117484,4007,24519,146010,0.027443326,0.167926854,0.972556674
1345,BraTS-GoAT-01527.nii.gz,166968,6342,53410,226720,0.02797283,0.235576923,0.97202717
544,BraTS-GoAT-02330.nii.gz,2840,105,800,3745,0.028037383,0.213618158,0.971962617
880,BraTS-GoAT-02312.nii.gz,96733,3003,7359,107095,0.028040525,0.068714693,0.971959475
488,BraTS-GoAT-01332.nii.gz,24229,847,4774,29850,0.028375209,0.159932998,0.971624791
1086,BraTS-GoAT-00276.nii.gz,101724,3352,12591,117667,0.028487171,0.107005363,0.971512829
668,BraTS-GoAT-01511.nii.gz,44333,1806,16373,62512,0.028890453,0.261917712,0.971109547
1015,BraTS-GoAT-01958.nii.gz,81197,3009,19700,103906,0.028958867,0.189594441,0.971041133
788,BraTS-GoAT-00478.nii.gz,103826,4212,35721,143759,0.029299035,0.248478356,0.970700965
511,BraTS-GoAT-00150.nii.gz,92292,3174,12469,107935,0.029406587,0.115523232,0.970593413
98,BraTS-GoAT-01022.nii.gz,90066,2977,7850,100893,0.029506507,0.0778052,0.970493493
219,BraTS-GoAT-01461.nii.gz,29889,1102,6124,37115,0.029691499,0.165000674,0.970308501
588,BraTS-GoAT-02338.nii.gz,177959,5880,13794,197633,0.029752116,0.069796036,0.970247884
502,BraTS-GoAT-02319.nii.gz,15696,920,13986,30602,0.030063395,0.457028952,0.969936605
1078,BraTS-GoAT-01542.nii.gz,9138,660,12096,21894,0.030145245,0.552480132,0.969854755
473,BraTS-GoAT-01251.nii.gz,88282,3176,12423,103881,0.030573445,0.11958876,0.969426555
682,BraTS-GoAT-00928.nii.gz,96396,3377,9105,108878,0.031016367,0.08362571,0.968983633
1121,BraTS-GoAT-00829.nii.gz,81990,3545,27505,113040,0.03136058,0.243320948,0.96863942
572,BraTS-GoAT-01806.nii.gz,38919,2123,26028,67070,0.031653496,0.388072163,0.968346504
1125,BraTS-GoAT-02066.nii.gz,188321,7530,41399,237250,0.031738672,0.174495258,0.968261328
869,BraTS-GoAT-01983.nii.gz,35386,1441,8497,45324,0.03179331,0.187472421,0.96820669
903,BraTS-GoAT-00751.nii.gz,12597,554,4178,17329,0.031969531,0.241098736,0.968030469
1198,BraTS-GoAT-00180.nii.gz,147854,5795,27542,181191,0.031982825,0.152005342,0.968017175
1065,BraTS-GoAT-02144.nii.gz,52314,1857,3810,57981,0.032027733,0.065711181,0.967972267
48,BraTS-GoAT-01821.nii.gz,4846,404,7220,12470,0.032397755,0.578989575,0.967602245
132,BraTS-GoAT-02218.nii.gz,28009,1120,5322,34451,0.032509942,0.154480276,0.967490058
521,BraTS-GoAT-00696.nii.gz,3302,136,722,4160,0.032692308,0.173557692,0.967307692
434,BraTS-GoAT-01742.nii.gz,31287,1441,11070,43798,0.032901046,0.252751267,0.967098954
409,BraTS-GoAT-00638.nii.gz,215542,8248,26658,250448,0.032932984,0.106441257,0.967067016
80,BraTS-GoAT-00437.nii.gz,76138,2888,8517,87543,0.032989502,0.097289332,0.967010498
1149,BraTS-GoAT-00806.nii.gz,76882,3212,16757,96851,0.033164345,0.173018348,0.966835655
975,BraTS-GoAT-00896.nii.gz,79582,3290,16124,98996,0.033233666,0.162875268,0.966766334
785,BraTS-GoAT-01184.nii.gz,14015,823,9900,24738,0.033268656,0.400194033,0.966731344
1159,BraTS-GoAT-01371.nii.gz,167472,6344,16834,190650,0.033275636,0.088297928,0.966724364
904,BraTS-GoAT-02278.nii.gz,71176,2734,8098,82008,0.033338211,0.098746464,0.966661789
1248,BraTS-GoAT-02143.nii.gz,58967,2623,16497,78087,0.033590739,0.211264359,0.966409261
564,BraTS-GoAT-02448.nii.gz,12254,479,1511,14244,0.033628194,0.106079753,0.966371806
413,BraTS-GoAT-01268.nii.gz,36799,1519,6651,44969,0.033778825,0.147901888,0.966221175
551,BraTS-GoAT-02409.nii.gz,86231,3690,18805,108726,0.033938524,0.17295771,0.966061476
762,BraTS-GoAT-00837.nii.gz,136759,5856,29680,172295,0.033988218,0.172262689,0.966011782
924,BraTS-GoAT-00122.nii.gz,120002,5112,24472,149586,0.034174321,0.163598198,0.965825679
429,BraTS-GoAT-02302.nii.gz,133063,5991,36248,175302,0.034175309,0.206774595,0.965824691
524,BraTS-GoAT-01662.nii.gz,31713,2030,25463,59206,0.034287066,0.430074655,0.965712934
723,BraTS-GoAT-01272.nii.gz,66878,3277,25236,95391,0.034353346,0.26455326,0.965646654
540,BraTS-GoAT-00037.nii.gz,87165,4556,40450,132171,0.034470497,0.306042929,0.965529503
1197,BraTS-GoAT-00328.nii.gz,208650,11087,101710,321447,0.034490911,0.31641297,0.965509089
752,BraTS-GoAT-00198.nii.gz,103879,5374,46325,155578,0.034542159,0.297760609,0.965457841
1171,BraTS-GoAT-01879.nii.gz,79370,3149,8613,91132,0.034554273,0.094511258,0.965445727
402,BraTS-GoAT-01029.nii.gz,24904,1384,13553,39841,0.034738084,0.340177204,0.965261916
1136,BraTS-GoAT-00419.nii.gz,23845,901,1172,25918,0.034763485,0.045219539,0.965236515
1128,BraTS-GoAT-02019.nii.gz,198267,7900,19368,225535,0.035027823,0.085875806,0.964972177
1,BraTS-GoAT-02263.nii.gz,100344,4899,33957,139200,0.035193966,0.243943966,0.964806034
870,BraTS-GoAT-02237.nii.gz,49968,2012,4833,56813,0.03541443,0.085068558,0.96458557
360,BraTS-GoAT-00403.nii.gz,56976,2357,6711,66044,0.035688329,0.101614075,0.964311671
287,BraTS-GoAT-01648.nii.gz,164307,7718,43744,215769,0.035769735,0.202735333,0.964230265
158,BraTS-GoAT-01317.nii.gz,20779,953,4845,26577,0.035858073,0.182300485,0.964141927
207,BraTS-GoAT-00635.nii.gz,11200,601,4835,16636,0.036126473,0.290634768,0.963873527
591,BraTS-GoAT-00167.nii.gz,71586,3415,18678,93679,0.036454275,0.199382999,0.963545725
159,BraTS-GoAT-02410.nii.gz,149299,6056,10326,165681,0.03655217,0.062324588,0.96344783
1347,BraTS-GoAT-02002.nii.gz,104016,4449,13105,121570,0.0365962,0.107797976,0.9634038
526,BraTS-GoAT-00075.nii.gz,37949,2635,30972,71556,0.036824305,0.432835821,0.963175695
339,BraTS-GoAT-01744.nii.gz,193226,7797,10542,211565,0.036853922,0.049828658,0.963146078
897,BraTS-GoAT-00737.nii.gz,65434,2881,9819,78134,0.036872552,0.125668723,0.963127448
1073,BraTS-GoAT-00945.nii.gz,123991,6743,51979,182713,0.036904873,0.28448441,0.963095127
1166,BraTS-GoAT-01869.nii.gz,109141,5087,22917,137145,0.037092129,0.167100514,0.962907871
675,BraTS-GoAT-00134.nii.gz,123063,6284,38840,168187,0.037363173,0.230933425,0.962636827
15,BraTS-GoAT-00199.nii.gz,29624,1462,8021,39107,0.037384611,0.205103946,0.962615389
223,BraTS-GoAT-00941.nii.gz,75309,2958,282,78549,0.037658022,0.003590116,0.962341978
772,BraTS-GoAT-01427.nii.gz,11280,763,8147,20190,0.037790986,0.403516592,0.962209014
1186,BraTS-GoAT-00689.nii.gz,40950,2098,12412,55460,0.037829066,0.223800938,0.962170934
1148,BraTS-GoAT-01496.nii.gz,48121,2637,18271,69029,0.038201336,0.264685857,0.961798664
1063,BraTS-GoAT-00542.nii.gz,129318,7195,49748,186261,0.038628591,0.267087581,0.961371409
285,BraTS-GoAT-01247.nii.gz,21877,956,1896,24729,0.038659064,0.076671115,0.961340936
118,BraTS-GoAT-00136.nii.gz,135262,5976,13041,154279,0.038735019,0.084528679,0.961264981
958,BraTS-GoAT-01491.nii.gz,56890,2610,7791,67291,0.038786762,0.115780714,0.961213238
641,BraTS-GoAT-02459.nii.gz,133610,5985,14523,154118,0.038833881,0.09423299,0.961166119
1083,BraTS-GoAT-01859.nii.gz,56485,2811,12500,71796,0.039152599,0.174104407,0.960847401
853,BraTS-GoAT-01694.nii.gz,36069,2160,16854,55083,0.03921355,0.30597462,0.96078645
1305,BraTS-GoAT-01492.nii.gz,31153,1984,17159,50296,0.039446477,0.341160331,0.960553523
1258,BraTS-GoAT-02101.nii.gz,9079,585,5166,14830,0.039447067,0.348347943,0.960552933
1070,BraTS-GoAT-00021.nii.gz,62021,3274,17626,82921,0.039483364,0.212563766,0.960516636
605,BraTS-GoAT-02430.nii.gz,105144,5876,36031,147051,0.039958926,0.245023835,0.960041074
454,BraTS-GoAT-00256.nii.gz,63525,3474,19813,86812,0.040017509,0.228228816,0.959982491
533,BraTS-GoAT-00310.nii.gz,121707,6003,22243,149953,0.040032544,0.148333144,0.959967456
332,BraTS-GoAT-01907.nii.gz,67093,3399,14189,84681,0.040138874,0.167558248,0.959861126
1291,BraTS-GoAT-01245.nii.gz,38403,1831,5273,45507,0.040235568,0.115872283,0.959764432
577,BraTS-GoAT-02091.nii.gz,67058,3073,5729,75860,0.040508832,0.075520696,0.959491168
794,BraTS-GoAT-02000.nii.gz,88745,5264,35859,129868,0.040533465,0.276118828,0.959466535
729,BraTS-GoAT-02011.nii.gz,7727,816,11483,20026,0.040747029,0.573404574,0.959252971
938,BraTS-GoAT-00709.nii.gz,6721,869,13655,21245,0.040903742,0.642739468,0.959096258
1204,BraTS-GoAT-00404.nii.gz,13629,1325,17198,32152,0.0412105,0.53489674,0.9587895
798,BraTS-GoAT-00291.nii.gz,73892,4059,20496,98447,0.041230307,0.208193241,0.958769693
808,BraTS-GoAT-00501.nii.gz,21091,1034,2830,24955,0.041434582,0.113404127,0.958565418
177,BraTS-GoAT-01893.nii.gz,139863,6878,19086,165827,0.041476961,0.115095853,0.958523039
366,BraTS-GoAT-00721.nii.gz,42224,2182,8079,52485,0.041573783,0.153929694,0.958426217
445,BraTS-GoAT-00723.nii.gz,14949,942,6752,22643,0.041602261,0.298193702,0.958397739
636,BraTS-GoAT-00954.nii.gz,103161,5819,29651,138631,0.041974739,0.21388434,0.958025261
920,BraTS-GoAT-00260.nii.gz,3230,154,275,3659,0.042088002,0.075157147,0.957911998
1071,BraTS-GoAT-00280.nii.gz,9600,1135,16229,26964,0.042093161,0.601876576,0.957906839
268,BraTS-GoAT-00530.nii.gz,72618,3548,7835,84001,0.042237592,0.093272699,0.957762408
908,BraTS-GoAT-02038.nii.gz,925,80,889,1894,0.042238648,0.46937698,0.957761352
328,BraTS-GoAT-00524.nii.gz,125927,8182,58905,193014,0.042390707,0.305185116,0.957609293
364,BraTS-GoAT-00996.nii.gz,61083,3531,18301,82915,0.042585781,0.220720014,0.957414219
735,BraTS-GoAT-01867.nii.gz,24021,1351,6333,31705,0.042611575,0.199747674,0.957388425
1137,BraTS-GoAT-00189.nii.gz,56234,4454,43755,104443,0.042645271,0.418936645,0.957354729
749,BraTS-GoAT-02068.nii.gz,23090,1425,8897,33412,0.042649348,0.266281575,0.957350652
1067,BraTS-GoAT-01066.nii.gz,85706,4814,22001,112521,0.042783125,0.195527946,0.957216875
336,BraTS-GoAT-01605.nii.gz,76402,4749,29059,110210,0.043090464,0.263669358,0.956909536
1043,BraTS-GoAT-00445.nii.gz,142392,8037,35958,186387,0.04311996,0.19292118,0.95688004
573,BraTS-GoAT-01454.nii.gz,149029,7887,25746,182662,0.04317811,0.140948856,0.95682189
399,BraTS-GoAT-01133.nii.gz,103276,6017,29216,138509,0.04344122,0.210932142,0.95655878
1082,BraTS-GoAT-00662.nii.gz,85913,8971,111250,206134,0.043520234,0.539697478,0.956479766
865,BraTS-GoAT-01328.nii.gz,3256,569,9168,12993,0.043792812,0.705610713,0.956207188
828,BraTS-GoAT-01932.nii.gz,76205,3940,9371,89516,0.044014478,0.104685196,0.955985522
153,BraTS-GoAT-00215.nii.gz,44701,3614,33532,81847,0.044155559,0.409691253,0.955844441
1156,BraTS-GoAT-00659.nii.gz,200693,9884,12134,222711,0.044380385,0.054483164,0.955619615
795,BraTS-GoAT-00716.nii.gz,98689,5318,15417,119424,0.044530413,0.129094654,0.955469587
1152,BraTS-GoAT-00303.nii.gz,63530,4667,35801,103998,0.044875863,0.344247005,0.955124137
446,BraTS-GoAT-02235.nii.gz,97074,5323,15320,117717,0.045218618,0.13014263,0.954781382
1252,BraTS-GoAT-02194.nii.gz,85060,5145,23517,113722,0.045241906,0.20679376,0.954758094
568,BraTS-GoAT-01308.nii.gz,59575,3342,10910,73827,0.045267991,0.147777913,0.954732009
147,BraTS-GoAT-00551.nii.gz,92222,6320,40965,139507,0.045302386,0.293641179,0.954697614
370,BraTS-GoAT-01194.nii.gz,19499,2247,27264,49010,0.045847786,0.556294634,0.954152214
1190,BraTS-GoAT-02439.nii.gz,123707,7418,30446,161571,0.045911704,0.188437281,0.954088296
400,BraTS-GoAT-00744.nii.gz,4427,266,1090,5783,0.045996887,0.188483486,0.954003113
545,BraTS-GoAT-00082.nii.gz,63100,3391,7167,73658,0.04603709,0.09730104,0.95396291
1080,BraTS-GoAT-02427.nii.gz,83475,5068,21537,110080,0.046039244,0.195648619,0.953960756
23,BraTS-GoAT-01422.nii.gz,16494,1818,21168,39480,0.046048632,0.536170213,0.953951368
390,BraTS-GoAT-00296.nii.gz,47186,2936,13436,63558,0.046194028,0.211397464,0.953805972
832,BraTS-GoAT-02291.nii.gz,132703,9602,65548,207853,0.04619611,0.315357488,0.95380389
356,BraTS-GoAT-00987.nii.gz,1878,115,495,2488,0.046221865,0.198954984,0.953778135
620,BraTS-GoAT-00286.nii.gz,103028,5578,11657,120263,0.04638168,0.09692923,0.95361832
679,BraTS-GoAT-00363.nii.gz,81792,4375,7884,94051,0.046517315,0.08382686,0.953482685
384,BraTS-GoAT-00486.nii.gz,56783,5881,63270,125934,0.046699065,0.502406022,0.953300935
831,BraTS-GoAT-01797.nii.gz,2024,203,2119,4346,0.046709618,0.487574781,0.953290382
518,BraTS-GoAT-00438.nii.gz,100148,6812,38039,144999,0.046979634,0.26233974,0.953020366
769,BraTS-GoAT-00141.nii.gz,136380,7047,5210,148637,0.047410806,0.035051838,0.952589194
62,BraTS-GoAT-02420.nii.gz,21636,1649,11426,34711,0.047506554,0.329175189,0.952493446
477,BraTS-GoAT-00752.nii.gz,19476,1469,9895,30840,0.047632944,0.320849546,0.952367056
917,BraTS-GoAT-02415.nii.gz,27169,1441,1463,30073,0.047916736,0.048648289,0.952083264
424,BraTS-GoAT-01642.nii.gz,133130,8234,29674,171038,0.048141349,0.17349361,0.951858651
914,BraTS-GoAT-01886.nii.gz,26224,1628,5908,33760,0.048222749,0.175,0.951777251
439,BraTS-GoAT-01874.nii.gz,106745,5885,9155,121785,0.048322864,0.075173461,0.951677136
145,BraTS-GoAT-00352.nii.gz,31178,1871,5665,38714,0.04832877,0.146329493,0.95167123
1227,BraTS-GoAT-00401.nii.gz,12877,1204,10802,24883,0.048386449,0.434111642,0.951613551
782,BraTS-GoAT-02212.nii.gz,25778,1420,2041,29239,0.048565272,0.069804029,0.951434728
188,BraTS-GoAT-02290.nii.gz,52170,3424,14178,69772,0.049074127,0.203204724,0.950925873
202,BraTS-GoAT-00249.nii.gz,45533,3271,17337,66141,0.049454952,0.262121831,0.950545048
1107,BraTS-GoAT-01027.nii.gz,103348,6702,25278,135328,0.049524119,0.186790612,0.950475881
633,BraTS-GoAT-00531.nii.gz,76615,4583,11302,92500,0.049545946,0.122183784,0.950454054
1250,BraTS-GoAT-02274.nii.gz,106974,7384,34159,148517,0.049718214,0.230000606,0.950281786
546,BraTS-GoAT-01582.nii.gz,75825,7269,62753,145847,0.049839901,0.430265964,0.950160099
1106,BraTS-GoAT-01782.nii.gz,20485,1240,2971,24696,0.05021056,0.120302883,0.94978944
355,BraTS-GoAT-00228.nii.gz,11196,827,4300,16323,0.050664706,0.263431967,0.949335294
92,BraTS-GoAT-01068.nii.gz,30952,2147,9134,42233,0.050837023,0.216276372,0.949162977
643,BraTS-GoAT-01919.nii.gz,36723,2148,3345,42216,0.050881182,0.079235361,0.949118818
1264,BraTS-GoAT-01522.nii.gz,71982,5595,31328,108905,0.051375052,0.28766356,0.948624948
630,BraTS-GoAT-00618.nii.gz,164048,9752,15211,189011,0.051594881,0.080476798,0.948405119
122,BraTS-GoAT-02418.nii.gz,21555,1847,12320,35722,0.051704832,0.344885505,0.948295168
63,BraTS-GoAT-00370.nii.gz,79512,8116,69134,156762,0.051772751,0.44101249,0.948227249
925,BraTS-GoAT-01451.nii.gz,58346,6138,54033,118517,0.051790039,0.455909279,0.948209961
693,BraTS-GoAT-00554.nii.gz,15444,1449,10956,27849,0.052030594,0.393407304,0.947969406
681,BraTS-GoAT-01534.nii.gz,99576,6321,15251,121148,0.052175851,0.125887344,0.947824149
1011,BraTS-GoAT-02102.nii.gz,7479,1789,25007,34275,0.052195478,0.729598833,0.947804522
1032,BraTS-GoAT-02069.nii.gz,132021,9205,34794,176020,0.052295194,0.197670719,0.947704806
1112,BraTS-GoAT-00114.nii.gz,27136,1972,8358,37466,0.052634389,0.223082261,0.947365611
1164,BraTS-GoAT-01203.nii.gz,5614,787,8549,14950,0.05264214,0.571839465,0.94735786
516,BraTS-GoAT-00821.nii.gz,79480,5405,17581,102466,0.052749205,0.171578865,0.947250795
216,BraTS-GoAT-01353.nii.gz,57780,4238,17718,79736,0.053150396,0.222208287,0.946849604
404,BraTS-GoAT-00006.nii.gz,56136,4816,29507,90459,0.053239589,0.326191976,0.946760411
617,BraTS-GoAT-02337.nii.gz,112470,6967,11195,130632,0.053333027,0.085698757,0.946666973
455,BraTS-GoAT-01865.nii.gz,160681,11908,50410,222999,0.053399343,0.226054825,0.946600657
111,BraTS-GoAT-00469.nii.gz,114042,8790,40494,163326,0.053818743,0.247933581,0.946181257
167,BraTS-GoAT-00698.nii.gz,73548,4679,8378,86605,0.054026904,0.096738064,0.945973096
432,BraTS-GoAT-01105.nii.gz,20460,1729,9735,31924,0.05415988,0.30494299,0.94584012
327,BraTS-GoAT-02254.nii.gz,89661,6353,21117,117131,0.054238417,0.180285322,0.945761583
886,BraTS-GoAT-01724.nii.gz,67155,5200,23272,95627,0.054377948,0.24336223,0.945622052
592,BraTS-GoAT-01753.nii.gz,71068,4582,8522,84172,0.054436155,0.10124507,0.945563845
651,BraTS-GoAT-00268.nii.gz,75630,5167,13926,94723,0.054548526,0.147018148,0.945451474
109,BraTS-GoAT-01137.nii.gz,62932,4195,9591,76718,0.054680779,0.125016293,0.945319221
659,BraTS-GoAT-00000.nii.gz,150821,9920,18530,179271,0.055335219,0.103363065,0.944664781
1026,BraTS-GoAT-01541.nii.gz,52227,3714,10911,66852,0.055555556,0.163211273,0.944444444
658,BraTS-GoAT-00498.nii.gz,103227,6590,8577,118394,0.055661604,0.07244455,0.944338396
1321,BraTS-GoAT-00602.nii.gz,101401,7191,18985,127577,0.056365959,0.14881209,0.943634041
1298,BraTS-GoAT-01850.nii.gz,66618,4816,13236,84670,0.05687965,0.156324554,0.94312035
611,BraTS-GoAT-00569.nii.gz,127817,8472,12653,148942,0.056881202,0.084952532,0.943118798
320,BraTS-GoAT-00087.nii.gz,42556,3359,13014,58929,0.057000798,0.22084203,0.942999202
593,BraTS-GoAT-01398.nii.gz,147731,13251,70407,231389,0.057267199,0.304279806,0.942732801
94,BraTS-GoAT-00620.nii.gz,1847,161,800,2808,0.057336182,0.284900285,0.942663818
417,BraTS-GoAT-00971.nii.gz,88963,9087,58556,156606,0.058024597,0.373906491,0.941975403
257,BraTS-GoAT-02375.nii.gz,147770,10218,18071,176059,0.058037362,0.102641728,0.941962638
515,BraTS-GoAT-01900.nii.gz,65547,5612,25471,96630,0.058077202,0.263593087,0.941922798
861,BraTS-GoAT-01358.nii.gz,10390,782,2287,13459,0.058102385,0.169923471,0.941897615
1333,BraTS-GoAT-00936.nii.gz,26644,2627,15913,45184,0.05814005,0.352182188,0.94185995
319,BraTS-GoAT-00341.nii.gz,35500,2692,8106,46298,0.05814506,0.175083157,0.94185494
141,BraTS-GoAT-02462.nii.gz,117868,9475,35234,162577,0.058280077,0.216721923,0.941719923
11,BraTS-GoAT-01138.nii.gz,77614,5705,14445,97764,0.058354814,0.147753774,0.941645186
340,BraTS-GoAT-01336.nii.gz,135912,9487,16998,162397,0.058418567,0.104669421,0.941581433
1195,BraTS-GoAT-02063.nii.gz,126003,11698,60991,198692,0.058875043,0.306962535,0.941124957
1344,BraTS-GoAT-00077.nii.gz,155695,11248,23651,190594,0.059015499,0.124091,0.940984501
1218,BraTS-GoAT-00520.nii.gz,107016,9711,47434,164161,0.059155341,0.288948045,0.940844659
553,BraTS-GoAT-02226.nii.gz,84944,9336,63130,157410,0.059310082,0.401054571,0.940689918
